Host Name,Possible Missing Planets,Ratio
HD 181433,9.374300 +/- 0.468715,1:1
HD 181433,962.000000 +/- 48.100000,1:1
HD 181433,2172.000000 +/- 108.600000,1:1
HD 181433,4.687150 +/- 0.468715,2:1
HD 181433,481.000000 +/- 48.100000,2:1
HD 181433,1086.000000 +/- 108.600000,2:1
HD 181433,3.124767 +/- 0.468715,3:1
HD 181433,320.666667 +/- 48.100000,3:1
HD 181433,724.000000 +/- 108.600000,3:1
HD 181433,1.874860 +/- 0.468715,5:2
HD 181433,3.749720 +/- 0.468715,5:2
HD 181433,192.400000 +/- 48.100000,5:2
HD 181433,384.800000 +/- 48.100000,5:2
HD 181433,434.400000 +/- 108.600000,5:2
HD 181433,868.800000 +/- 108.600000,5:2
HD 184010,143.300000 +/- 14.330000,2:1
HD 184010,242.150000 +/- 24.215000,2:1
HD 184010,418.200000 +/- 41.820000,2:1
HD 184010,57.320000 +/- 14.330000,5:2
HD 184010,114.640000 +/- 14.330000,5:2
HD 184010,96.860000 +/- 24.215000,5:2
HD 184010,193.720000 +/- 24.215000,5:2
HD 184010,167.280000 +/- 41.820000,5:2
HD 184010,334.560000 +/- 41.820000,5:2
HD 184010,95.533333 +/- 14.330000,3:2
HD 184010,191.066667 +/- 14.330000,3:2
HD 184010,161.433333 +/- 24.215000,3:2
HD 184010,322.866667 +/- 24.215000,3:2
HD 184010,278.800000 +/- 41.820000,3:2
HD 184010,557.600000 +/- 41.820000,3:2
HD 184010,286.600000 +/- 14.330000,1:1
HD 184010,484.300000 +/- 24.215000,1:1
HD 184010,836.400000 +/- 41.820000,1:1
HD 191939,2.960109 +/- 0.444016,3:1
HD 191939,9.526581 +/- 1.428987,3:1
HD 191939,12.784346 +/- 1.917652,3:1
HD 191939,33.706667 +/- 5.056000,3:1
HD 191939,733.333333 +/- 110.000000,3:1
HD 191939,94.666667 +/- 14.200000,3:1
HD 191939,2.960109 +/- 0.444016,3:2
HD 191939,5.920217 +/- 0.444016,3:2
HD 191939,9.526581 +/- 1.428987,3:2
HD 191939,19.053162 +/- 1.428987,3:2
HD 191939,12.784346 +/- 1.917652,3:2
HD 191939,25.568691 +/- 1.917652,3:2
HD 191939,33.706667 +/- 5.056000,3:2
HD 191939,67.413333 +/- 5.056000,3:2
HD 191939,733.333333 +/- 110.000000,3:2
HD 191939,1466.666667 +/- 110.000000,3:2
HD 191939,94.666667 +/- 14.200000,3:2
HD 191939,189.333333 +/- 14.200000,3:2
HD 191939,8.880326 +/- 0.444016,1:1
HD 191939,28.579743 +/- 1.428987,1:1
HD 191939,38.353037 +/- 1.917652,1:1
HD 191939,101.120000 +/- 5.056000,1:1
HD 191939,2200.000000 +/- 110.000000,1:1
HD 191939,284.000000 +/- 14.200000,1:1
HD 204313,680.371797 +/- 102.055769,3:2
HD 204313,1360.743593 +/- 102.055769,3:2
HD 204313,11.652917 +/- 1.747938,3:2
HD 204313,23.305833 +/- 1.747938,3:2
HD 204313,2441.882220 +/- 366.282333,3:2
HD 204313,4883.764440 +/- 366.282333,3:2
HD 204313,2041.115390 +/- 102.055769,1:1
HD 204313,34.958750 +/- 1.747938,1:1
HD 204313,7325.646660 +/- 366.282333,1:1
HD 204313,1020.557695 +/- 102.055769,2:1
HD 204313,17.479375 +/- 1.747938,2:1
HD 204313,3662.823330 +/- 366.282333,2:1
HD 204313,680.371797 +/- 102.055769,3:1
HD 204313,11.652917 +/- 1.747938,3:1
HD 204313,2441.882220 +/- 366.282333,3:1
HD 204313,408.223078 +/- 102.055769,5:2
HD 204313,816.446156 +/- 102.055769,5:2
HD 204313,6.991750 +/- 1.747938,5:2
HD 204313,13.983500 +/- 1.747938,5:2
HD 204313,1465.129332 +/- 366.282333,5:2
HD 204313,2930.258664 +/- 366.282333,5:2
HD 20781,1.771167 +/- 0.265675,3:2
HD 20781,3.542333 +/- 0.265675,3:2
HD 20781,4.630167 +/- 0.694525,3:2
HD 20781,9.260333 +/- 0.694525,3:2
HD 20781,9.719333 +/- 1.457900,3:2
HD 20781,19.438667 +/- 1.457900,3:2
HD 20781,28.502433 +/- 4.275365,3:2
HD 20781,57.004867 +/- 4.275365,3:2
HD 20781,1.062700 +/- 0.265675,5:2
HD 20781,2.125400 +/- 0.265675,5:2
HD 20781,2.778100 +/- 0.694525,5:2
HD 20781,5.556200 +/- 0.694525,5:2
HD 20781,5.831600 +/- 1.457900,5:2
HD 20781,11.663200 +/- 1.457900,5:2
HD 20781,17.101460 +/- 4.275365,5:2
HD 20781,34.202920 +/- 4.275365,5:2
HD 20794,6.105000 +/- 0.915750,3:1
HD 20794,13.371333 +/- 2.005700,3:1
HD 20794,30.103000 +/- 4.515450,3:1
HD 20794,49.006667 +/- 7.351000,3:1
HD 20794,3.663000 +/- 0.915750,5:2
HD 20794,7.326000 +/- 0.915750,5:2
HD 20794,8.022800 +/- 2.005700,5:2
HD 20794,16.045600 +/- 2.005700,5:2
HD 20794,18.061800 +/- 4.515450,5:2
HD 20794,36.123600 +/- 4.515450,5:2
HD 20794,29.404000 +/- 7.351000,5:2
HD 20794,58.808000 +/- 7.351000,5:2
HD 20794,6.105000 +/- 0.915750,3:2
HD 20794,12.210000 +/- 0.915750,3:2
HD 20794,13.371333 +/- 2.005700,3:2
HD 20794,26.742667 +/- 2.005700,3:2
HD 20794,30.103000 +/- 4.515450,3:2
HD 20794,60.206000 +/- 4.515450,3:2
HD 20794,49.006667 +/- 7.351000,3:2
HD 20794,98.013333 +/- 7.351000,3:2
HD 20794,18.315000 +/- 0.915750,1:1
HD 20794,40.114000 +/- 2.005700,1:1
HD 20794,90.309000 +/- 4.515450,1:1
HD 20794,147.020000 +/- 7.351000,1:1
HD 219134,0.618585 +/- 0.154646,5:2
HD 219134,1.237170 +/- 0.154646,5:2
HD 219134,1.352916 +/- 0.338229,5:2
HD 219134,2.705832 +/- 0.338229,5:2
HD 219134,9.371800 +/- 2.342950,5:2
HD 219134,18.743600 +/- 2.342950,5:2
HD 219134,4.543400 +/- 1.135850,5:2
HD 219134,9.086800 +/- 1.135850,5:2
HD 219134,18.840000 +/- 4.710000,5:2
HD 219134,37.680000 +/- 4.710000,5:2
HD 219134,449.400000 +/- 112.350000,5:2
HD 219134,898.800000 +/- 112.350000,5:2
HD 219134,3.092926 +/- 0.154646,1:1
HD 219134,6.764580 +/- 0.338229,1:1
HD 219134,46.859000 +/- 2.342950,1:1
HD 219134,22.717000 +/- 1.135850,1:1
HD 219134,94.200000 +/- 4.710000,1:1
HD 219134,2247.000000 +/- 112.350000,1:1
HD 23472,3.533417 +/- 0.883354,5:2
HD 23472,7.066835 +/- 0.883354,5:2
HD 23472,5.959498 +/- 1.489874,5:2
HD 23472,11.918996 +/- 1.489874,5:2
HD 23472,0.795328 +/- 0.198832,5:2
HD 23472,1.590656 +/- 0.198832,5:2
HD 23472,1.581508 +/- 0.395377,5:2
HD 23472,3.163016 +/- 0.395377,5:2
HD 23472,2.432437 +/- 0.608109,5:2
HD 23472,4.864874 +/- 0.608109,5:2
HD 23472,5.889029 +/- 0.883354,3:2
HD 23472,11.778058 +/- 0.883354,3:2
HD 23472,9.932497 +/- 1.489874,3:2
HD 23472,19.864993 +/- 1.489874,3:2
HD 23472,1.325547 +/- 0.198832,3:2
HD 23472,2.651093 +/- 0.198832,3:2
HD 23472,2.635847 +/- 0.395377,3:2
HD 23472,5.271693 +/- 0.395377,3:2
HD 23472,4.054061 +/- 0.608109,3:2
HD 23472,8.108123 +/- 0.608109,3:2
HD 23472,17.667087 +/- 0.883354,1:1
HD 23472,29.797490 +/- 1.489874,1:1
HD 23472,3.976640 +/- 0.198832,1:1
HD 23472,7.907540 +/- 0.395377,1:1
HD 23472,12.162184 +/- 0.608109,1:1
HD 27894,6.006463 +/- 0.900970,3:1
HD 27894,12.023333 +/- 1.803500,3:1
HD 27894,1673.180813 +/- 250.977122,3:1
HD 27894,3.603878 +/- 0.900970,5:2
HD 27894,7.207756 +/- 0.900970,5:2
HD 27894,7.214000 +/- 1.803500,5:2
HD 27894,14.428000 +/- 1.803500,5:2
HD 27894,1003.908488 +/- 250.977122,5:2
HD 27894,2007.816976 +/- 250.977122,5:2
HD 27894,6.006463 +/- 0.900970,3:2
HD 27894,12.012927 +/- 0.900970,3:2
HD 27894,12.023333 +/- 1.803500,3:2
HD 27894,24.046667 +/- 1.803500,3:2
HD 27894,1673.180813 +/- 250.977122,3:2
HD 27894,3346.361627 +/- 250.977122,3:2
HD 27894,18.019390 +/- 0.900970,1:1
HD 27894,36.070000 +/- 1.803500,1:1
HD 27894,5019.542440 +/- 250.977122,1:1
HD 31527,8.276750 +/- 0.827675,2:1
HD 31527,25.602650 +/- 2.560265,2:1
HD 31527,135.836850 +/- 13.583685,2:1
HD 31527,3.310700 +/- 0.827675,5:2
HD 31527,6.621400 +/- 0.827675,5:2
HD 31527,10.241060 +/- 2.560265,5:2
HD 31527,20.482120 +/- 2.560265,5:2
HD 31527,54.334740 +/- 13.583685,5:2
HD 31527,108.669480 +/- 13.583685,5:2
HD 31527,5.517833 +/- 0.827675,3:2
HD 31527,11.035667 +/- 0.827675,3:2
HD 31527,17.068433 +/- 2.560265,3:2
HD 31527,34.136867 +/- 2.560265,3:2
HD 31527,90.557900 +/- 13.583685,3:2
HD 31527,181.115800 +/- 13.583685,3:2
HD 31527,16.553500 +/- 0.827675,1:1
HD 31527,51.205300 +/- 2.560265,1:1
HD 31527,271.673700 +/- 13.583685,1:1
HD 3167,0.319880 +/- 0.047982,3:2
HD 3167,0.639761 +/- 0.047982,3:2
HD 3167,9.948467 +/- 1.492270,3:2
HD 3167,19.896933 +/- 1.492270,3:2
HD 3167,2.803733 +/- 0.420560,3:2
HD 3167,5.607467 +/- 0.420560,3:2
HD 3167,32.210000 +/- 4.831500,3:2
HD 3167,64.420000 +/- 4.831500,3:2
HD 3167,0.959641 +/- 0.047982,1:1
HD 3167,29.845400 +/- 1.492270,1:1
HD 3167,8.411200 +/- 0.420560,1:1
HD 3167,96.630000 +/- 4.831500,1:1
HD 3167,0.479820 +/- 0.047982,2:1
HD 3167,14.922700 +/- 1.492270,2:1
HD 3167,4.205600 +/- 0.420560,2:1
HD 3167,48.315000 +/- 4.831500,2:1
HD 3167,0.319880 +/- 0.047982,3:1
HD 3167,9.948467 +/- 1.492270,3:1
HD 3167,2.803733 +/- 0.420560,3:1
HD 3167,32.210000 +/- 4.831500,3:1
HD 3167,0.191928 +/- 0.047982,5:2
HD 3167,0.383856 +/- 0.047982,5:2
HD 3167,5.969080 +/- 1.492270,5:2
HD 3167,11.938160 +/- 1.492270,5:2
HD 3167,1.682240 +/- 0.420560,5:2
HD 3167,3.364480 +/- 0.420560,5:2
HD 3167,19.326000 +/- 4.831500,5:2
HD 3167,38.652000 +/- 4.831500,5:2
HD 34445,524.500000 +/- 52.450000,2:1
HD 34445,107.335000 +/- 10.733500,2:1
HD 34445,58.935000 +/- 5.893500,2:1
HD 34445,24.587500 +/- 2.458750,2:1
HD 34445,338.400000 +/- 33.840000,2:1
HD 34445,2850.000000 +/- 285.000000,2:1
HD 34445,209.800000 +/- 52.450000,5:2
HD 34445,419.600000 +/- 52.450000,5:2
HD 34445,42.934000 +/- 10.733500,5:2
HD 34445,85.868000 +/- 10.733500,5:2
HD 34445,23.574000 +/- 5.893500,5:2
HD 34445,47.148000 +/- 5.893500,5:2
HD 34445,9.835000 +/- 2.458750,5:2
HD 34445,19.670000 +/- 2.458750,5:2
HD 34445,135.360000 +/- 33.840000,5:2
HD 34445,270.720000 +/- 33.840000,5:2
HD 34445,1140.000000 +/- 285.000000,5:2
HD 34445,2280.000000 +/- 285.000000,5:2
HD 34445,349.666667 +/- 52.450000,3:2
HD 34445,699.333333 +/- 52.450000,3:2
HD 34445,71.556667 +/- 10.733500,3:2
HD 34445,143.113333 +/- 10.733500,3:2
HD 34445,39.290000 +/- 5.893500,3:2
HD 34445,78.580000 +/- 5.893500,3:2
HD 34445,16.391667 +/- 2.458750,3:2
HD 34445,32.783333 +/- 2.458750,3:2
HD 34445,225.600000 +/- 33.840000,3:2
HD 34445,451.200000 +/- 33.840000,3:2
HD 34445,1900.000000 +/- 285.000000,3:2
HD 34445,3800.000000 +/- 285.000000,3:2
HD 34445,1049.000000 +/- 52.450000,1:1
HD 34445,214.670000 +/- 10.733500,1:1
HD 34445,117.870000 +/- 5.893500,1:1
HD 34445,49.175000 +/- 2.458750,1:1
HD 34445,676.800000 +/- 33.840000,1:1
HD 34445,5700.000000 +/- 285.000000,1:1
HD 37124,77.189000 +/- 7.718900,2:1
HD 37124,442.750000 +/- 44.275000,2:1
HD 37124,931.000000 +/- 93.100000,2:1
HD 37124,30.875600 +/- 7.718900,5:2
HD 37124,61.751200 +/- 7.718900,5:2
HD 37124,177.100000 +/- 44.275000,5:2
HD 37124,354.200000 +/- 44.275000,5:2
HD 37124,372.400000 +/- 93.100000,5:2
HD 37124,744.800000 +/- 93.100000,5:2
HD 37124,51.459333 +/- 7.718900,3:2
HD 37124,102.918667 +/- 7.718900,3:2
HD 37124,295.166667 +/- 44.275000,3:2
HD 37124,590.333333 +/- 44.275000,3:2
HD 37124,620.666667 +/- 93.100000,3:2
HD 37124,1241.333333 +/- 93.100000,3:2
HD 37124,154.378000 +/- 7.718900,1:1
HD 37124,885.500000 +/- 44.275000,1:1
HD 37124,1862.000000 +/- 93.100000,1:1
HD 39091,696.252837 +/- 104.437926,3:2
HD 39091,1392.505673 +/- 104.437926,3:2
HD 39091,2.089303 +/- 0.313395,3:2
HD 39091,4.178607 +/- 0.313395,3:2
HD 39091,41.546667 +/- 6.232000,3:2
HD 39091,83.093333 +/- 6.232000,3:2
HD 39091,2088.758510 +/- 104.437926,1:1
HD 39091,6.267910 +/- 0.313395,1:1
HD 39091,124.640000 +/- 6.232000,1:1
HD 39091,1044.379255 +/- 104.437926,2:1
HD 39091,3.133955 +/- 0.313395,2:1
HD 39091,62.320000 +/- 6.232000,2:1
HD 39091,696.252837 +/- 104.437926,3:1
HD 39091,2.089303 +/- 0.313395,3:1
HD 39091,41.546667 +/- 6.232000,3:1
HD 39091,417.751702 +/- 104.437926,5:2
HD 39091,835.503404 +/- 104.437926,5:2
HD 39091,1.253582 +/- 0.313395,5:2
HD 39091,2.507164 +/- 0.313395,5:2
HD 39091,24.928000 +/- 6.232000,5:2
HD 39091,49.856000 +/- 6.232000,5:2
HD 39194,2.818400 +/- 0.281840,2:1
HD 39194,7.015000 +/- 0.701500,2:1
HD 39194,16.955000 +/- 1.695500,2:1
HD 39194,1.878933 +/- 0.281840,3:1
HD 39194,4.676667 +/- 0.701500,3:1
HD 39194,11.303333 +/- 1.695500,3:1
HD 39194,1.127360 +/- 0.281840,5:2
HD 39194,2.254720 +/- 0.281840,5:2
HD 39194,2.806000 +/- 0.701500,5:2
HD 39194,5.612000 +/- 0.701500,5:2
HD 39194,6.782000 +/- 1.695500,5:2
HD 39194,13.564000 +/- 1.695500,5:2
HD 39194,5.636800 +/- 0.281840,1:1
HD 39194,14.030000 +/- 0.701500,1:1
HD 39194,33.910000 +/- 1.695500,1:1
HD 40307,2.156150 +/- 0.215615,2:1
HD 40307,4.809200 +/- 0.480920,2:1
HD 40307,10.216000 +/- 1.021600,2:1
HD 40307,25.880000 +/- 2.588000,2:1
HD 40307,98.900000 +/- 9.890000,2:1
HD 40307,0.862460 +/- 0.215615,5:2
HD 40307,1.724920 +/- 0.215615,5:2
HD 40307,1.923680 +/- 0.480920,5:2
HD 40307,3.847360 +/- 0.480920,5:2
HD 40307,4.086400 +/- 1.021600,5:2
HD 40307,8.172800 +/- 1.021600,5:2
HD 40307,10.352000 +/- 2.588000,5:2
HD 40307,20.704000 +/- 2.588000,5:2
HD 40307,39.560000 +/- 9.890000,5:2
HD 40307,79.120000 +/- 9.890000,5:2
HD 40307,1.437433 +/- 0.215615,3:2
HD 40307,2.874867 +/- 0.215615,3:2
HD 40307,3.206133 +/- 0.480920,3:2
HD 40307,6.412267 +/- 0.480920,3:2
HD 40307,6.810667 +/- 1.021600,3:2
HD 40307,13.621333 +/- 1.021600,3:2
HD 40307,17.253333 +/- 2.588000,3:2
HD 40307,34.506667 +/- 2.588000,3:2
HD 40307,65.933333 +/- 9.890000,3:2
HD 40307,131.866667 +/- 9.890000,3:2
HD 40307,4.312300 +/- 0.215615,1:1
HD 40307,9.618400 +/- 0.480920,1:1
HD 40307,20.432000 +/- 1.021600,1:1
HD 40307,51.760000 +/- 2.588000,1:1
HD 40307,197.800000 +/- 9.890000,1:1
HD 63433,3.553969 +/- 0.355397,2:1
HD 63433,10.271895 +/- 1.027190,2:1
HD 63433,2.104538 +/- 0.210454,2:1
HD 63433,1.421588 +/- 0.355397,5:2
HD 63433,2.843175 +/- 0.355397,5:2
HD 63433,4.108758 +/- 1.027190,5:2
HD 63433,8.217516 +/- 1.027190,5:2
HD 63433,0.841815 +/- 0.210454,5:2
HD 63433,1.683630 +/- 0.210454,5:2
HD 63433,2.369313 +/- 0.355397,3:2
HD 63433,4.738625 +/- 0.355397,3:2
HD 63433,6.847930 +/- 1.027190,3:2
HD 63433,13.695861 +/- 1.027190,3:2
HD 63433,1.403025 +/- 0.210454,3:2
HD 63433,2.806050 +/- 0.210454,3:2
HD 63433,7.107938 +/- 0.355397,1:1
HD 63433,20.543791 +/- 1.027190,1:1
HD 63433,4.209075 +/- 0.210454,1:1
HD 69830,2.889000 +/- 0.433350,3:2
HD 69830,5.778000 +/- 0.433350,3:2
HD 69830,10.520000 +/- 1.578000,3:2
HD 69830,21.040000 +/- 1.578000,3:2
HD 69830,65.666667 +/- 9.850000,3:2
HD 69830,131.333333 +/- 9.850000,3:2
HD 69830,8.667000 +/- 0.433350,1:1
HD 69830,31.560000 +/- 1.578000,1:1
HD 69830,197.000000 +/- 9.850000,1:1
HD 69830,4.333500 +/- 0.433350,2:1
HD 69830,15.780000 +/- 1.578000,2:1
HD 69830,98.500000 +/- 9.850000,2:1
HD 69830,2.889000 +/- 0.433350,3:1
HD 69830,10.520000 +/- 1.578000,3:1
HD 69830,65.666667 +/- 9.850000,3:1
HD 69830,1.733400 +/- 0.433350,5:2
HD 69830,3.466800 +/- 0.433350,5:2
HD 69830,6.312000 +/- 1.578000,5:2
HD 69830,12.624000 +/- 1.578000,5:2
HD 69830,39.400000 +/- 9.850000,5:2
HD 69830,78.800000 +/- 9.850000,5:2
HD 93385,2.447533 +/- 0.367130,3:2
HD 93385,4.895067 +/- 0.367130,3:2
HD 93385,4.393333 +/- 0.659000,3:2
HD 93385,8.786667 +/- 0.659000,3:2
HD 93385,15.283333 +/- 2.292500,3:2
HD 93385,30.566667 +/- 2.292500,3:2
HD 93385,7.342600 +/- 0.367130,1:1
HD 93385,13.180000 +/- 0.659000,1:1
HD 93385,45.850000 +/- 2.292500,1:1
HD 93385,3.671300 +/- 0.367130,2:1
HD 93385,6.590000 +/- 0.659000,2:1
HD 93385,22.925000 +/- 2.292500,2:1
HD 93385,2.447533 +/- 0.367130,3:1
HD 93385,4.393333 +/- 0.659000,3:1
HD 93385,15.283333 +/- 2.292500,3:1
HD 93385,1.468520 +/- 0.367130,5:2
HD 93385,2.937040 +/- 0.367130,5:2
HD 93385,2.636000 +/- 0.659000,5:2
HD 93385,5.272000 +/- 0.659000,5:2
HD 93385,9.170000 +/- 2.292500,5:2
HD 93385,18.340000 +/- 2.292500,5:2
HD 96700,2.708167 +/- 0.406225,3:2
HD 96700,5.416333 +/- 0.406225,3:2
HD 96700,6.626667 +/- 0.994000,3:2
HD 96700,13.253333 +/- 0.994000,3:2
HD 96700,34.500000 +/- 5.175000,3:2
HD 96700,69.000000 +/- 5.175000,3:2
HD 96700,8.124500 +/- 0.406225,1:1
HD 96700,19.880000 +/- 0.994000,1:1
HD 96700,103.500000 +/- 5.175000,1:1
HD 96700,4.062250 +/- 0.406225,2:1
HD 96700,9.940000 +/- 0.994000,2:1
HD 96700,51.750000 +/- 5.175000,2:1
HD 96700,2.708167 +/- 0.406225,3:1
HD 96700,6.626667 +/- 0.994000,3:1
HD 96700,34.500000 +/- 5.175000,3:1
HD 96700,1.624900 +/- 0.406225,5:2
HD 96700,3.249800 +/- 0.406225,5:2
HD 96700,3.976000 +/- 0.994000,5:2
HD 96700,7.952000 +/- 0.994000,5:2
HD 96700,20.700000 +/- 5.175000,5:2
HD 96700,41.400000 +/- 5.175000,5:2
HIP 14810,3.336946 +/- 0.333695,2:1
HIP 14810,73.873500 +/- 7.387350,2:1
HIP 14810,490.900000 +/- 49.090000,2:1
HIP 14810,1.334778 +/- 0.333695,5:2
HIP 14810,2.669557 +/- 0.333695,5:2
HIP 14810,29.549400 +/- 7.387350,5:2
HIP 14810,59.098800 +/- 7.387350,5:2
HIP 14810,196.360000 +/- 49.090000,5:2
HIP 14810,392.720000 +/- 49.090000,5:2
HIP 14810,2.224631 +/- 0.333695,3:2
HIP 14810,4.449261 +/- 0.333695,3:2
HIP 14810,49.249000 +/- 7.387350,3:2
HIP 14810,98.498000 +/- 7.387350,3:2
HIP 14810,327.266667 +/- 49.090000,3:2
HIP 14810,654.533333 +/- 49.090000,3:2
HIP 14810,6.673892 +/- 0.333695,1:1
HIP 14810,147.747000 +/- 7.387350,1:1
HIP 14810,981.800000 +/- 49.090000,1:1
HIP 41378,5.190699 +/- 0.778605,3:1
HIP 41378,10.568827 +/- 1.585324,3:1
HIP 41378,371.333333 +/- 55.700000,3:1
HIP 41378,361.333333 +/- 54.200000,3:1
HIP 41378,5.190699 +/- 0.778605,3:2
HIP 41378,10.381399 +/- 0.778605,3:2
HIP 41378,10.568827 +/- 1.585324,3:2
HIP 41378,21.137653 +/- 1.585324,3:2
HIP 41378,371.333333 +/- 55.700000,3:2
HIP 41378,742.666667 +/- 55.700000,3:2
HIP 41378,361.333333 +/- 54.200000,3:2
HIP 41378,722.666667 +/- 54.200000,3:2
HIP 41378,3.114420 +/- 0.778605,5:2
HIP 41378,6.228839 +/- 0.778605,5:2
HIP 41378,6.341296 +/- 1.585324,5:2
HIP 41378,12.682592 +/- 1.585324,5:2
HIP 41378,222.800000 +/- 55.700000,5:2
HIP 41378,445.600000 +/- 55.700000,5:2
HIP 41378,216.800000 +/- 54.200000,5:2
HIP 41378,433.600000 +/- 54.200000,5:2
HIP 57274,4.067600 +/- 0.406760,2:1
HIP 57274,16.015000 +/- 1.601500,2:1
HIP 57274,215.850000 +/- 21.585000,2:1
HIP 57274,2.711733 +/- 0.406760,3:1
HIP 57274,10.676667 +/- 1.601500,3:1
HIP 57274,143.900000 +/- 21.585000,3:1
HIP 57274,2.711733 +/- 0.406760,3:2
HIP 57274,5.423467 +/- 0.406760,3:2
HIP 57274,10.676667 +/- 1.601500,3:2
HIP 57274,21.353333 +/- 1.601500,3:2
HIP 57274,143.900000 +/- 21.585000,3:2
HIP 57274,287.800000 +/- 21.585000,3:2
HIP 57274,1.627040 +/- 0.406760,5:2
HIP 57274,3.254080 +/- 0.406760,5:2
HIP 57274,6.406000 +/- 1.601500,5:2
HIP 57274,12.812000 +/- 1.601500,5:2
HIP 57274,86.340000 +/- 21.585000,5:2
HIP 57274,172.680000 +/- 21.585000,5:2
HR 858,1.792995 +/- 0.179300,2:1
HR 858,2.986465 +/- 0.298646,2:1
HR 858,5.615000 +/- 0.561500,2:1
HR 858,0.717198 +/- 0.179300,5:2
HR 858,1.434396 +/- 0.179300,5:2
HR 858,1.194586 +/- 0.298646,5:2
HR 858,2.389172 +/- 0.298646,5:2
HR 858,2.246000 +/- 0.561500,5:2
HR 858,4.492000 +/- 0.561500,5:2
HR 858,1.195330 +/- 0.179300,3:2
HR 858,2.390660 +/- 0.179300,3:2
HR 858,1.990977 +/- 0.298646,3:2
HR 858,3.981953 +/- 0.298646,3:2
HR 858,3.743333 +/- 0.561500,3:2
HR 858,7.486667 +/- 0.561500,3:2
HR 858,3.585990 +/- 0.179300,1:1
HR 858,5.972930 +/- 0.298646,1:1
HR 858,11.230000 +/- 0.561500,1:1
K2-133,1.023777 +/- 0.153567,3:2
K2-133,2.047553 +/- 0.153567,3:2
K2-133,1.622613 +/- 0.243392,3:2
K2-133,3.245227 +/- 0.243392,3:2
K2-133,3.674847 +/- 0.551227,3:2
K2-133,7.349693 +/- 0.551227,3:2
K2-133,8.861367 +/- 1.329205,3:2
K2-133,17.722733 +/- 1.329205,3:2
K2-133,3.071330 +/- 0.153567,1:1
K2-133,4.867840 +/- 0.243392,1:1
K2-133,11.024540 +/- 0.551227,1:1
K2-133,26.584100 +/- 1.329205,1:1
K2-133,1.535665 +/- 0.153567,2:1
K2-133,2.433920 +/- 0.243392,2:1
K2-133,5.512270 +/- 0.551227,2:1
K2-133,13.292050 +/- 1.329205,2:1
K2-133,1.023777 +/- 0.153567,3:1
K2-133,1.622613 +/- 0.243392,3:1
K2-133,3.674847 +/- 0.551227,3:1
K2-133,8.861367 +/- 1.329205,3:1
K2-133,0.614266 +/- 0.153567,5:2
K2-133,1.228532 +/- 0.153567,5:2
K2-133,0.973568 +/- 0.243392,5:2
K2-133,1.947136 +/- 0.243392,5:2
K2-133,2.204908 +/- 0.551227,5:2
K2-133,4.409816 +/- 0.551227,5:2
K2-133,5.316820 +/- 1.329205,5:2
K2-133,10.633640 +/- 1.329205,5:2
K2-138,0.470618 +/- 0.117654,5:2
K2-138,0.941236 +/- 0.117654,5:2
K2-138,0.712008 +/- 0.178002,5:2
K2-138,1.424016 +/- 0.178002,5:2
K2-138,1.080958 +/- 0.270240,5:2
K2-138,2.161916 +/- 0.270240,5:2
K2-138,1.652292 +/- 0.413073,5:2
K2-138,3.304584 +/- 0.413073,5:2
K2-138,2.551516 +/- 0.637879,5:2
K2-138,5.103032 +/- 0.637879,5:2
K2-138,8.393594 +/- 2.098399,5:2
K2-138,16.787188 +/- 2.098399,5:2
K2-138,0.784363 +/- 0.117654,3:2
K2-138,1.568727 +/- 0.117654,3:2
K2-138,1.186680 +/- 0.178002,3:2
K2-138,2.373360 +/- 0.178002,3:2
K2-138,1.801597 +/- 0.270240,3:2
K2-138,3.603193 +/- 0.270240,3:2
K2-138,2.753820 +/- 0.413073,3:2
K2-138,5.507640 +/- 0.413073,3:2
K2-138,4.252527 +/- 0.637879,3:2
K2-138,8.505053 +/- 0.637879,3:2
K2-138,13.989323 +/- 2.098399,3:2
K2-138,27.978647 +/- 2.098399,3:2
K2-138,2.353090 +/- 0.117654,1:1
K2-138,3.560040 +/- 0.178002,1:1
K2-138,5.404790 +/- 0.270240,1:1
K2-138,8.261460 +/- 0.413073,1:1
K2-138,12.757580 +/- 0.637879,1:1
K2-138,41.967970 +/- 2.098399,1:1
K2-155,3.171000 +/- 0.317100,2:1
K2-155,6.925000 +/- 0.692500,2:1
K2-155,20.359000 +/- 2.035900,2:1
K2-155,1.268400 +/- 0.317100,5:2
K2-155,2.536800 +/- 0.317100,5:2
K2-155,2.770000 +/- 0.692500,5:2
K2-155,5.540000 +/- 0.692500,5:2
K2-155,8.143600 +/- 2.035900,5:2
K2-155,16.287200 +/- 2.035900,5:2
K2-155,2.114000 +/- 0.317100,3:2
K2-155,4.228000 +/- 0.317100,3:2
K2-155,4.616667 +/- 0.692500,3:2
K2-155,9.233333 +/- 0.692500,3:2
K2-155,13.572667 +/- 2.035900,3:2
K2-155,27.145333 +/- 2.035900,3:2
K2-155,6.342000 +/- 0.317100,1:1
K2-155,13.850000 +/- 0.692500,1:1
K2-155,40.718000 +/- 2.035900,1:1
K2-16,0.905260 +/- 0.135789,3:2
K2-16,1.810520 +/- 0.135789,3:2
K2-16,2.539600 +/- 0.380940,3:2
K2-16,5.079200 +/- 0.380940,3:2
K2-16,6.359543 +/- 0.953932,3:2
K2-16,12.719087 +/- 0.953932,3:2
K2-16,2.715780 +/- 0.135789,1:1
