Host Name,Possible Missing Planets,Ratio
EPIC 249893012,15.624000 +/- 0.781200,1:1
EPIC 249893012,35.747000 +/- 1.787350,1:1
GJ 1061,1.068000 +/- 0.160200,3:1
GJ 1061,2.229667 +/- 0.334450,3:1
GJ 1061,4.343667 +/- 0.651550,3:1
GJ 1061,1.068000 +/- 0.160200,3:2
GJ 1061,2.136000 +/- 0.160200,3:2
GJ 1061,2.229667 +/- 0.334450,3:2
GJ 1061,4.459333 +/- 0.334450,3:2
GJ 1061,4.343667 +/- 0.651550,3:2
GJ 1061,8.687333 +/- 0.651550,3:2
GJ 1061,0.640800 +/- 0.160200,5:2
GJ 1061,1.281600 +/- 0.160200,5:2
GJ 1061,1.337800 +/- 0.334450,5:2
GJ 1061,2.675600 +/- 0.334450,5:2
GJ 1061,2.606200 +/- 0.651550,5:2
GJ 1061,5.212400 +/- 0.651550,5:2
GJ 163,4.315910 +/- 0.431591,2:1
GJ 163,12.815290 +/- 1.281529,2:1
GJ 163,301.975580 +/- 30.197558,2:1
GJ 163,1.726364 +/- 0.431591,5:2
GJ 163,3.452728 +/- 0.431591,5:2
GJ 163,5.126116 +/- 1.281529,5:2
GJ 163,10.252232 +/- 1.281529,5:2
GJ 163,120.790232 +/- 30.197558,5:2
GJ 163,241.580464 +/- 30.197558,5:2
GJ 163,2.877273 +/- 0.431591,3:2
GJ 163,5.754547 +/- 0.431591,3:2
GJ 163,8.543527 +/- 1.281529,3:2
GJ 163,17.087053 +/- 1.281529,3:2
GJ 163,201.317053 +/- 30.197558,3:2
GJ 163,402.634107 +/- 30.197558,3:2
GJ 163,8.631820 +/- 0.431591,1:1
GJ 163,25.630580 +/- 1.281529,1:1
GJ 163,603.951160 +/- 30.197558,1:1
GJ 180,5.711000 +/- 0.856650,3:2
GJ 180,11.422000 +/- 0.856650,3:2
GJ 180,8.109667 +/- 1.216450,3:2
GJ 180,16.219333 +/- 1.216450,3:2
GJ 180,35.433333 +/- 5.315000,3:2
GJ 180,70.866667 +/- 5.315000,3:2
GJ 180,17.133000 +/- 0.856650,1:1
GJ 180,24.329000 +/- 1.216450,1:1
GJ 180,106.300000 +/- 5.315000,1:1
GJ 180,8.566500 +/- 0.856650,2:1
GJ 180,12.164500 +/- 1.216450,2:1
GJ 180,53.150000 +/- 5.315000,2:1
GJ 180,5.711000 +/- 0.856650,3:1
GJ 180,8.109667 +/- 1.216450,3:1
GJ 180,35.433333 +/- 5.315000,3:1
GJ 180,3.426600 +/- 0.856650,5:2
GJ 180,6.853200 +/- 0.856650,5:2
GJ 180,4.865800 +/- 1.216450,5:2
GJ 180,9.731600 +/- 1.216450,5:2
GJ 180,21.260000 +/- 5.315000,5:2
GJ 180,42.520000 +/- 5.315000,5:2
GJ 3138,0.406677 +/- 0.061002,3:2
GJ 3138,0.813353 +/- 0.061002,3:2
GJ 3138,1.991333 +/- 0.298700,3:2
GJ 3138,3.982667 +/- 0.298700,3:2
GJ 3138,85.933333 +/- 12.890000,3:2
GJ 3138,171.866667 +/- 12.890000,3:2
GJ 3138,1.220030 +/- 0.061002,1:1
GJ 3138,5.974000 +/- 0.298700,1:1
GJ 3138,257.800000 +/- 12.890000,1:1
GJ 3138,0.610015 +/- 0.061002,2:1
GJ 3138,2.987000 +/- 0.298700,2:1
GJ 3138,128.900000 +/- 12.890000,2:1
GJ 3138,0.406677 +/- 0.061002,3:1
GJ 3138,1.991333 +/- 0.298700,3:1
GJ 3138,85.933333 +/- 12.890000,3:1
GJ 3138,0.244006 +/- 0.061002,5:2
GJ 3138,0.488012 +/- 0.061002,5:2
GJ 3138,1.194800 +/- 0.298700,5:2
GJ 3138,2.389600 +/- 0.298700,5:2
GJ 3138,51.560000 +/- 12.890000,5:2
GJ 3138,103.120000 +/- 12.890000,5:2
GJ 3293,15.299350 +/- 1.529935,2:1
GJ 3293,61.309800 +/- 6.130980,2:1
GJ 3293,24.067250 +/- 2.406725,2:1
GJ 3293,6.627150 +/- 0.662715,2:1
GJ 3293,10.199567 +/- 1.529935,3:1
