2MASS J19383260+4603591 b,2MASS J19383260+4603591,591.16084
47 UMa b,47 UMa,804.08
47 UMa c,47 UMa,171.621
47 UMa d,47 UMa,521.22
55 Cnc b,55 Cnc,255.4
55 Cnc c,55 Cnc,51.2
55 Cnc d,55 Cnc,991.6
55 Cnc e,55 Cnc,7.99
55 Cnc f,55 Cnc,47.8
61 Vir b,61 Vir,5.1
61 Vir c,61 Vir,18.2
61 Vir d,61 Vir,22.9
AU Mic b,AU Mic,20.12
AU Mic c,AU Mic,9.6
AU Mic d,AU Mic,1.053
CoRoT-7 b,CoRoT-7,4.07661
CoRoT-7 c,CoRoT-7,8.4
CoRoT-7 d,CoRoT-7,17.142
DMPP-1 b,DMPP-1,24.27
DMPP-1 c,DMPP-1,9.6
DMPP-1 d,DMPP-1,3.35
DMPP-1 e,DMPP-1,4.13
EPIC 201754305 d,K2-16,
EPIC 206024342 b,EPIC 206024342,
EPIC 206024342 c,EPIC 206024342,
EPIC 206024342 d,EPIC 206024342,
EPIC 249893012 b,EPIC 249893012,8.75
EPIC 249893012 c,EPIC 249893012,14.67
EPIC 249893012 d,EPIC 249893012,10.18
GJ 1061 b,GJ 1061,1.37
GJ 1061 c,GJ 1061,1.74
GJ 1061 d,GJ 1061,1.64
GJ 163 b,GJ 163,10.6
GJ 163 c,GJ 163,6.8
GJ 163 d,GJ 163,29.4
GJ 180 b,GJ 180,6.49
GJ 180 c,GJ 180,6.4
GJ 180 d,GJ 180,7.56
GJ 3138 b,GJ 3138,1.78
GJ 3138 c,GJ 3138,4.18
GJ 3138 d,GJ 3138,10.5
GJ 3293 b,GJ 3293,23.54
GJ 3293 c,GJ 3293,21.09
GJ 3293 d,GJ 3293,7.6
GJ 3293 e,GJ 3293,3.28
GJ 357 b,GJ 357,
GJ 357 c,GJ 357,3.4
GJ 357 d,GJ 357,6.1
GJ 367 b,GJ 367,0.633
GJ 367 c,GJ 367,4.13
GJ 367 d,GJ 367,6.03
GJ 433 b,GJ 433,6.043
GJ 433 c,GJ 433,32.422
GJ 433 d,GJ 433,5.223
GJ 581 b,GJ 581,15.8
GJ 581 c,GJ 581,5.5
GJ 581 e,GJ 581,1.7
GJ 667 C b,GJ 667 C,
GJ 667 C c,GJ 667 C,3.8
GJ 667 C e,GJ 667 C,2.7
GJ 667 C f,GJ 667 C,2.7
GJ 667 C g,GJ 667 C,4.6
